age_band_id,stage_1_rank,cluster_entity_id,stage_1_card_label,category_entity_id,stage_2_card_label,content_type,research_status,researcher,source_artifact_path,json_path,csv_path,summary_path,founder_preview_path,top_pick_count,url_status_summary,ingestion_ready_status,qa_notes
age_1_3m,1,ent_cluster_faces_smiles_chats,Iâm finding your face,cat_baby_safe_mirror,A baby-safe mirror for faces,product_category,complete,manus,agent-tools\exports\stage3\1-3m\source\manus_bundle,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_baby_safe_mirror.json,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_baby_safe_mirror.csv,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_baby_safe_mirror_summary.md,,5,verified_direct:5,ready_for_founder_review,
age_1_3m,2,ent_cluster_listen_and_coo,Iâm listening to your voice,cat_board_books,Board books and face books,product_category,complete,manus,agent-tools\exports\stage3\1-3m\source\manus_bundle,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_board_books.json,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_board_books.csv,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_board_books_summary.md,,5,verified_direct:3; google_shopping:2,needs_qa,"Expected exactly 15 longlist candidates, found 16; Contains Google Shopping/search fallback URL(s)"
age_1_3m,3,ent_cluster_watching_tracking,Iâm watching the world,cat_high_contrast_cards,High-contrast cards and simple patterns,product_category,complete,manus,agent-tools\exports\stage3\1-3m\source\manus_bundle,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_high_contrast_cards.json,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_high_contrast_cards.csv,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_high_contrast_cards_summary.md,,5,verified_direct:5,ready_for_founder_review,
age_1_3m,4,ent_cluster_tummy_head_control,Iâm getting stronger on my tummy,cat_tummy_time_mat,A simple tummy-time mat,product_category,research_needed,manus,agent-tools\exports\stage3\1-3m\source\manus_bundle,,,,,0,missing:5,blocked,Missing Stage 3 research JSON
age_1_3m,5,ent_cluster_kicks_wriggles,Iâm starting to wriggle,cat_washable_floor_play_mat,A washable floor-play mat,product_category,complete,manus,agent-tools\exports\stage3\1-3m\source\manus_bundle,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_washable_floor_play_mat.json,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_washable_floor_play_mat.csv,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_washable_floor_play_mat_summary.md,,5,verified_direct:5,ready_for_founder_review,
age_1_3m,6,ent_cluster_first_grasps,My hands are waking up,cat_reach_grab_toys,Reach-and-grab toys,product_category,complete,manus,agent-tools\exports\stage3\1-3m\source\manus_bundle,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_reach_grab_toys.json,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_reach_grab_toys.csv,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_reach_grab_toys_summary.md,,5,verified_direct:5,needs_qa,"Expected at least 1 guidance note, found 0"
age_1_3m,7,ent_cluster_calm_crying_settling,Help me settle and reconnect,cat_soft_carrier_sling,A safe sling or carrier cuddle,product_category,complete,manus,agent-tools\exports\stage3\1-3m\source\manus_bundle,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_soft_carrier_sling.json,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_soft_carrier_sling.csv,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_soft_carrier_sling_summary.md,,5,verified_direct:5,ready_for_founder_review,
age_1_3m,8,ent_cluster_feeding_clean_kit,Make feeds feel easier,cat_burp_cloths_muslins,Muslins and burp cloths,product_category,complete,manus,agent-tools\exports\stage3\1-3m\source\manus_bundle,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_burp_cloths_muslins.json,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_burp_cloths_muslins.csv,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_burp_cloths_muslins_summary.md,,5,verified_direct:5,ready_for_founder_review,
age_1_3m,9,ent_cluster_safe_sleep_setup,Help sleep stay safe,cat_firm_flat_mattress,"A firm, flat, waterproof mattress",product_category,complete,manus,agent-tools\exports\stage3\1-3m\source\manus_bundle,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_firm_flat_mattress.json,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_firm_flat_mattress.csv,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_firm_flat_mattress_summary.md,,5,verified_direct:5,ready_for_founder_review,
age_1_3m,10,ent_cluster_health_first_trips,Keep first trips simpler,cat_rear_facing_car_seat,Rear-facing infant car seat,product_category,complete,manus,agent-tools\exports\stage3\1-3m\source\manus_bundle,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_rear_facing_car_seat.json,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_rear_facing_car_seat.csv,agent-tools\exports\stage3\1-3m\research\ember_picks_1-3m_cat_rear_facing_car_seat_summary.md,,5,verified_direct:5,ready_for_founder_review,
